run_id,model_name,fold_id,base_value,output_space
20260119_024933,LightGBM,1,-2.9760581165856883,log_odds
20260119_024933,LightGBM,2,-2.972042491773124,log_odds
20260119_024933,LightGBM,3,-2.976202168879154,log_odds
20260119_024933,LightGBM,4,-2.99229807338301,log_odds
20260119_024933,LightGBM,5,-3.008825537118629,log_odds
