run_id,fold_id,feature_name,importance_gain,importance_split
20260119_024933,1,FLAG_DOCUMENT_2,0.0,0
20260119_024933,1,FLAG_DOCUMENT_3,3586.058991909027,98
20260119_024933,1,FLAG_DOCUMENT_4,0.0,0
20260119_024933,1,FLAG_DOCUMENT_5,0.0,0
20260119_024933,1,FLAG_DOCUMENT_6,37.00570011138916,3
20260119_024933,1,FLAG_DOCUMENT_7,0.0,0
20260119_024933,1,FLAG_DOCUMENT_8,94.61425876617432,11
20260119_024933,1,FLAG_DOCUMENT_9,0.0,0
20260119_024933,1,FLAG_DOCUMENT_10,0.0,0
20260119_024933,1,FLAG_DOCUMENT_11,0.0,0
20260119_024933,1,FLAG_DOCUMENT_12,0.0,0
20260119_024933,1,FLAG_DOCUMENT_13,0.0,0
20260119_024933,1,FLAG_DOCUMENT_14,0.0,0
20260119_024933,1,FLAG_DOCUMENT_15,0.0,0
20260119_024933,1,FLAG_DOCUMENT_16,137.36923933029175,17
20260119_024933,1,FLAG_DOCUMENT_17,0.0,0
20260119_024933,1,FLAG_DOCUMENT_18,246.7812304496765,26
20260119_024933,1,FLAG_DOCUMENT_19,0.0,0
20260119_024933,1,FLAG_DOCUMENT_20,0.0,0
20260119_024933,1,FLAG_DOCUMENT_21,0.0,0
20260119_024933,1,AMT_REQ_CREDIT_BUREAU_HOUR,0.0,0
20260119_024933,1,AMT_REQ_CREDIT_BUREAU_DAY,12.059569835662842,2
20260119_024933,1,AMT_REQ_CREDIT_BUREAU_WEEK,14.592729568481445,2
20260119_024933,1,AMT_REQ_CREDIT_BUREAU_MON,173.67146015167236,16
20260119_024933,1,AMT_REQ_CREDIT_BUREAU_QRT,1141.2210392951965,84
20260119_024933,1,AMT_REQ_CREDIT_BUREAU_YEAR,869.8336095809937,78
20260119_024933,1,NAME_CONTRACT_TYPE_Cash_loans,1763.6685242652893,61
20260119_024933,1,NAME_CONTRACT_TYPE_Revolving_loans,6.005489826202393,1
20260119_024933,1,NAME_TYPE_SUITE_Children,7.319469928741455,1
20260119_024933,1,NAME_TYPE_SUITE_Family,32.57620906829834,3
