run_id,model_name,metric_name,cv_mean,cv_std,train_time_sec,notes
20260119_024933,LogisticRegression,auc,0.7719330518266813,0.0028983483785267163,129.03434991836548,5-fold CV (same folds as LightGBM)
20260119_024933,LightGBM,auc,0.7910157848692845,0.0013758368860449744,,5-fold CV OOF
